,Unnamed: 0,Channel,total_views,total_subscribers,videos
373,23,Get Good Gaming,636968617,1630000,773
374,24,T Gaming,2156415889,2500000,3954
375,25,Skvala Gaming,60439929,242000,994
376,26,Semenix Gaming,105147801,464000,779
377,27,Core-A Gaming,65396007,467000,185
378,28,Zarckaroo Gaming,31325651,378000,544
379,29,SQUEEZIE GAMING,2469224335,5000000,1236
380,30,IJustWantToBeCool GAMING,101734268,206000,364
381,31,Gaming Rules!,13276224,56100,1726
382,32,VTK Gaming,145575062,696000,2438
383,33,Late Night Gaming,45677125,197000,554
384,34,Suggestive Gaming,103776940,398000,340
385,35,Arekkz Gaming,710499752,1450000,6429
386,36,Tribe Gaming,297025739,910000,892
387,37,TCA Gaming,20972963,79600,1822
388,38,Z1 Gaming,169421855,589000,4162
389,39,PANDU GAMING,1192506863,2830000,2340
390,40,Camodo Gaming,2512459930,3780000,6901
391,41,Daz Games,2958692994,9040000,1639
392,42,2J Games,371476675,1050000,661
393,43,Saurus Gaming,26876618,175000,146
394,44,RYU Gaming,4898222,22100,1224
395,45,CKN Gaming,1331960992,1320000,507
396,46,WhatCulture Gaming,951664866,1710000,6343
397,47,Ceave Gaming,157250504,504000,231
398,48,Fierik Gaming,59505483,208000,640
399,49,PAYAL GAMING,433889120,4290000,927
400,0,Special Olympics Deutschland,560782,1710,407
401,1,Bahrain Olympic Committee,573177,2340,205
402,2,Prosperity Olympics,23967,201,78
403,3,Special Olympics Puerto Rico,114085,658,223
404,4,Olympic Foil,9538475,13300,346
405,5,Olympics Figure Skating,189260350,203000,649
406,6,Special Olympics Gibraltar,2472,55,32
407,7,Special Olympics BC,112496,614,297
408,8,Special Olympics Slovakia,11954,93,91
409,9,Olympics game,2774,3,14
410,10,Special Olympics Italia,1262506,4410,1144
411,11,Swiss Olympic Team,1831352,2050,629
412,12,Special Olympics Switzerland,154234,444,313
413,13,Special Olympics UAE,30981,197,155
414,14,Olympics Gymnastics,85881140,166000,524
415,15,Special Olympics Maryland,393423,922,2188
416,16,Special Olympics Australia,93521,409,210
417,17,Olympics On My Mind,78362,1040,60
418,18,Olympic Dreams,25036678,78900,165
419,19,Off The Podium - An Olympics Podcast,32958,135,162
420,20,Special Olympics Minnesota,168638,932,181
421,21,The Olympic Museum,1606787,2180,373
422,22,Olympics Skateboarding,25958600,96900,415
423,23,Olympic Team Austria,1355396,2200,1157
424,24,Special Olympics Sweden Invitational Games 2020,2324,60,12
425,25,Alina Zagitova Olympic Media,2322373,4930,209
426,26,Special Olympics Thailand,8756627,24500,171
427,27,Special Olympics Newfoundland & Labrador,7376,81,71
428,28,Special Olympics Colorado,282090,839,1248
